50音順,「ことばリスト」順,見出し,読み,アクセント,"ローマ字
（「入門」のみ）",英訳,品詞,部,課,活動
652,1,おはよう（ございます）,おはよう（ございます）,おはよう（ございま↓す）,ohayoo (gozaimasu),Good morning.,Exp,入門,1,1
1499,2,こんにちは,こんにちは,こんにちは○,konnichiwa,Good afternoon.,Exp,入門,1,1
1502,3,こんばんは,こんばんは,こんばんは○,konbanwa,Good evening.,Exp,入門,1,1
541,7,お先に失礼します,おさきにしつれいします,おさきにしつ↓れいします,osaki ni shitsureeshimasu,Goodbye. (I'll take my leave before you.),Exp,入門,1,2
595,8,お疲れさま（でした）,おつかれさま（でした）,おつかれさま（で↓した）,otsukaresama (deshita),Goodbye. (Thank you for your hard work.),Exp,入門,1,2
695,5,おやすみ（なさい）,おやすみ（なさい）,おやすみ（なさい）○,oyasumi (nasai),Good night. ,Exp,入門,1,2
1685,6,失礼します,しつれいします,しつ↓れいします,shitsureeshimasu,Goodbye.,Exp,入門,1,2
1724,4,じゃあ、また,じゃあ、また,じゃ↓あ、また○,"jaa, mata",See you later.,Exp,入門,1,2
120,10,あめ,あめ,あめ○,ame,candy,N,入門,1,3
128,12,ありがとうございます,ありがとうございます,あり↓がとうございます,arigatoo gozaimasu,Thank you.,Exp,入門,1,3
157,18,いいえ,いいえ,いいえ○,iie,You're welcome.,Exp,入門,1,3
197,22,痛い！,いたい！,いた↓い！,itai !,Ouch！,Exp,入門,1,3
621,16,落としましたよ,おとしましたよ,おとしま↓したよ,otoshimashita yo,You dropped this.,Exp,入門,1,3
1461,21,ごめん,ごめん,ごめん○,gomen,Sorry.,Exp,入門,1,3
1473,9,これ,これ,これ○,kore,this,N,入門,1,3
2074,13,すみません,すみません,すみませ↓ん,sumimasen,Thank you.,Exp,入門,1,3
2075,20,すみません,すみません,すみませ↓ん,sumimasen,I'm sorry.,Exp,入門,1,3
2712,17,どうぞ,どうぞ,ど↓うぞ,doozo,Here you go.,Exp,入門,1,3
2726,15,どうも,どうも,ど↓うも,doomo,Thanks.,Exp,入門,1,3
2727,14,（どうも）ありがとう,（どうも）ありがとう,（ど↓うも）　あり↓がとう,(doomo) arigatoo,Thank you very much.,Exp,入門,1,3
3532,11,プレゼント,プレゼント,プレ↓ゼント,purezento,present,N,入門,1,3
4206,19,わあ,わあ,わあ○,waa,Oh! (expresses surprise),Exp,入門,1,3
674,23,おめでとうございます,おめでとうございます,おめでとうございま↓す,omedetoo gozaimasu,Congratulations.,Exp,入門,1,4
4216,24,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,入門,1,4
205,40,1,いち,いち↓,ichi,one,N,入門,2,1
239,35,言ってください,いってください,いってくださ↓い,itte kudasai,Please say ～.,Exp,入門,2,1
648,34,お願いします,おねがいします,おねがいしま↓す,onegaishimasu,Please. ,Exp,入門,2,1
764,37,書いてください,かいてください,か↓いてくださ↓い,kaite kudasai,Please write ～.,Exp,入門,2,1
1073,48,9,きゅう,きゅ↓う,kyuu,nine,N,入門,2,1
1282,44,5,ご,ご↓,go,five,N,入門,2,1
1367,30,ここ,ここ,ここ○,koko,here,N,入門,2,1
1532,29,在留カード,ざいりゅうカード,ざいりゅうカ↓ード,zairyuu-kaado,residence card,N,入門,2,1
1586,42,3,さん,さん○,san,three,N,入門,2,1
1744,49,10,じゅう,じゅ↓う,juu,ten,N,入門,2,1
2143,39,0,ゼロ,ゼ↓ロ,zero,zero,N,入門,2,1
2882,46,7,なな,な↓な,nana,seven,N,入門,2,1
2902,31,名前,なまえ,なまえ○,namae,name,N,入門,2,1
2939,41,2,に,に↓,ni,two,N,入門,2,1
3215,47,8,はち,はち↓,hachi,eight,N,入門,2,1
3571,32,部屋,へや,へや↓,heya,room,N,入門,2,1
3779,36,見せてください,みせてください,み↓せてくださ↓い,misete kudasai,Please show me ～.,Exp,入門,2,1
3871,26,もういちど,もういちど,もういちど○,moo ichido,once more,,入門,2,1
3884,27,もう少し,もうすこし,もうすこ↓し,moo sukoshi,a little.,,入門,2,1
4013,28,ゆっくり,ゆっくり,ゆっく↓り,yukkuri,slowly,,入門,2,1
4044,25,よく,よく,よ↓く,yoku,(not) really,,入門,2,1
4079,43,4,よん,よ↓ん,yon,four,N,入門,2,1
4188,45,6,ろく,ろく↓,roku,six,N,入門,2,1
4217,38,わかりました,わかりました,わかりま↓した,wakarimashita,I understand.,Exp,入門,2,1
4220,33,わかりません,わかりません,わかりませ↓ん,wakarimasen,I do not understand.,Exp,入門,2,1
106,63,あのう,あのう,あのう○,anoo,Um… (used when the speaker wants to start talking to someone),Exp,入門,2,2
